OrderID,Location,Item,Total Amount,Weekday Classification,Meal Time,Order Time,Food Preparation time,Driver Assign Time,Food Delivery Time,Standard Preparation time,Standard Driver Assign Time,Standard Delivery Time,Variance % Preparartion Time,Variance % Assign Time,Variance % Delivery Time,Preparation time,Assign Time,Delivery Time,Overall Remarks,Major Issuses,,
OD1089,Whitefield,Chole Bhature,400,Weekend,Morning,Non-Peak Time,41,2,10,22,2,15,86.36%,0.00%,-33.33%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD0835,Koramangala,Samosa,100,Weekday,Evening,Non-Peak Time,25,2,13,10,2,10,150.00%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0703,Indiranagar,Veg Biryani,580,Weekday,Noon,Non-Peak Time,43,2,11,25,2,15,72.00%,0.00%,-26.67%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1163,HSR Layout,Hakka Noodles,260,Weekday,Evening,Peak time,32,2,35,16,2,20,100.00%,0.00%,75.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD0704,Jayanagar,Noodles,250,Weekday,Evening,Peak time,58,2,48,10,2,12,480.00%,0.00%,300.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD1164,Koramangala,Noodles,250,Weekday,Night,Non-Peak Time,47,2,13,10,2,10,370.00%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1568,BTM Layout,Burger,210,Weekend,Night,Non-Peak Time,22,3,14,16,2,15,37.50%,50.00%,-6.67%,Slight Delay,Delayed,Before Time,Assign Time,Assign Time,,
OD0152,Jayanagar,Burger,210,Weekend,Night,Peak time,52,2,18,16,2,12,225.00%,0.00%,50.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0569,Brigade Road,Butter Naan,160,Weekend,Evening,Non-Peak Time,30,2,14,10,2,22,200.00%,0.00%,-36.36%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD0343,HSR Layout,Samosa,100,Weekday,Night,Peak time,19,2,32,10,2,20,90.00%,0.00%,60.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD0007,Jayanagar,Poha,225,Weekend,Morning,Peak time,32,4,40,15,2,12,113.33%,100.00%,233.33%,Delayed,Delayed,Immediate Attention,Risk,Delivery Time,,
OD1828,Koramangala,Masala Dosa,120,Weekday,Morning,Non-Peak Time,16,2,17,12,2,10,33.33%,0.00%,70.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD0008,Whitefield,Samosa,100,Weekend,Night,Peak time,15,16,36,10,2,15,50.00%,700.00%,140.00%,Delayed,Immediate Attention,Delayed,Risk,Assign Time,,
OD1091,Jayanagar,Aloo Paratha,330,Weekend,Morning,Non-Peak Time,42,2,14,10,2,12,320.00%,0.00%,16.67%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1829,Whitefield,Idli,130,Weekday,Morning,Non-Peak Time,45,2,14,15,2,15,200.00%,0.00%,-6.67%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD1505,Jayanagar,Chole Bhature,400,Weekend,Morning,Peak time,46,16,55,22,2,12,109.09%,700.00%,358.33%,Delayed,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD0293,BTM Layout,Butter Naan,160,Weekend,Night,Peak time,14,5,38,10,2,15,40.00%,150.00%,153.33%,Delayed,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD0423,HSR Layout,Paneer Paratha,480,Weekday,Morning,Peak time,22,2,74,18,2,20,22.22%,0.00%,270.00%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1367,Marathahalli,Pav Bhaji,300,Weekday,Noon,Non-Peak Time,16,2,29,20,2,10,-20.00%,0.00%,190.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0633,Whitefield,Chicken Tikka,355,Weekend,Noon,Non-Peak Time,265,2,16,10,2,15,2550.00%,0.00%,6.67%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1165,Marathahalli,Chicken Tikka,355,Weekday,Evening,Non-Peak Time,38,2,23,10,2,10,280.00%,0.00%,130.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1632,Marathahalli,Chicken Biryani,350,Weekday,Night,Peak time,18,2,47,30,2,10,-40.00%,0.00%,370.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0706,MG Road,Masala Dosa,120,Weekend,Morning,Peak time,70,2,20,12,2,20,483.33%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0770,Whitefield,Chole Bhature,200,Weekday,Morning,Non-Peak Time,32,2,11,22,2,15,45.45%,0.00%,-26.67%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD0707,Marathahalli,Paneer Paratha,320,Weekend,Morning,Non-Peak Time,52,2,12,18,2,10,188.89%,0.00%,20.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0072,Koramangala,Fish Curry,190,Weekend,Evening,Non-Peak Time,45,2,10,15,2,10,200.00%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0153,Marathahalli,Butter Chicken,945,Weekend,Noon,Non-Peak Time,22,2,17,15,2,10,46.67%,0.00%,70.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1572,Jayanagar,Chicken Biryani,700,Weekend,Noon,Non-Peak Time,42,2,12,30,2,12,40.00%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD0571,Jayanagar,Burger,210,Weekend,Evening,Non-Peak Time,36,3,13,16,2,12,125.00%,50.00%,8.33%,Delayed,Delayed,Slight Delay,"Preparation time,Assign Time",Preparation time,,
OD1094,MG Road,Burger,210,Weekend,Night,Peak time,32,2,25,16,2,20,100.00%,0.00%,25.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1095,Jayanagar,Masala Dosa,120,Weekend,Morning,Non-Peak Time,28,2,13,12,2,12,133.33%,0.00%,8.33%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1283,Whitefield,Chicken Curry,650,Weekday,Night,Peak time,55,2,52,20,2,15,175.00%,0.00%,246.67%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0503,Jayanagar,Idli,130,Weekend,Morning,Non-Peak Time,12,2,34,15,2,12,-20.00%,0.00%,183.33%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0154,Malleswaram,Butter Naan,160,Weekend,Noon,Non-Peak Time,48,4,12,10,2,10,380.00%,100.00%,20.00%,Immediate Attention,Delayed,Slight Delay,Risk,Preparation time,,
OD1167,Marathahalli,Samosa,100,Weekday,Evening,Peak time,49,12,11,10,2,10,390.00%,500.00%,10.00%,Immediate Attention,Immediate Attention,Slight Delay,Risk,"Preparation time,Assign Time",,
OD0836,Marathahalli,Butter Naan,160,Weekday,Noon,Non-Peak Time,28,2,19,10,2,10,180.00%,0.00%,90.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0346,Whitefield,Pav Bhaji,300,Weekday,Noon,Non-Peak Time,56,2,11,20,2,15,180.00%,0.00%,-26.67%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD0771,BTM Layout,Butter Chicken,945,Weekday,Noon,Non-Peak Time,50,2,15,15,2,15,233.33%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD1634,Marathahalli,Chicken Tikka,355,Weekday,Night,Non-Peak Time,23,2,21,10,2,10,130.00%,0.00%,110.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1026,Jayanagar,Paneer Tikka,360,Weekend,Evening,Peak time,44,10,14,21,2,12,109.52%,400.00%,16.67%,Delayed,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0294,Malleswaram,Samosa,100,Weekday,Evening,Non-Peak Time,27,1,13,10,2,10,170.00%,-50.00%,30.00%,Immediate Attention,Way Before Time,Slight Delay,Risk,Preparation time,,
OD1168,Indiranagar,Sushi,350,Weekday,Evening,Non-Peak Time,37,1,13,26,2,15,42.31%,-50.00%,-13.33%,Delayed,Way Before Time,Way Before Time,Preparation time,Preparation time,,
OD0234,Whitefield,Chicken Curry,650,Weekday,Night,Peak time,13,14,53,20,2,15,-35.00%,600.00%,253.33%,Way Before Time,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD0772,MG Road,Chole Bhature,200,Weekday,Morning,Peak time,47,5,14,22,2,20,113.64%,150.00%,-30.00%,Delayed,Immediate Attention,Way Before Time,Risk,Assign Time,,
OD0073,Whitefield,Samosa,100,Weekend,Evening,Non-Peak Time,46,1,10,10,2,15,360.00%,-50.00%,-33.33%,Immediate Attention,Way Before Time,Way Before Time,Risk,Preparation time,,
OD0235,HSR Layout,Paneer Paratha,160,Weekday,Morning,Peak time,75,2,20,18,2,20,316.67%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD1763,Marathahalli,Mutton Biryani,780,Weekday,Night,Non-Peak Time,59,5,16,35,2,10,68.57%,150.00%,60.00%,Delayed,Immediate Attention,Delayed,Risk,Assign Time,,
OD0906,Malleswaram,Sushi,350,Weekday,Noon,Non-Peak Time,40,2,11,26,2,10,53.85%,0.00%,10.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1896,Whitefield,Chicken Tikka,355,Weekend,Night,Peak time,11,2,58,10,2,15,10.00%,0.00%,286.67%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1962,Jayanagar,Chicken Curry,650,Weekend,Night,Peak time,47,2,59,20,2,12,135.00%,0.00%,391.67%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD0075,HSR Layout,Butter Naan,160,Weekend,Noon,Non-Peak Time,22,2,15,10,2,20,120.00%,0.00%,-25.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1285,HSR Layout,Chicken Tikka,355,Weekday,Night,Non-Peak Time,14,2,23,10,2,20,40.00%,0.00%,15.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0236,MG Road,Noodles,250,Weekday,Evening,Non-Peak Time,27,2,13,10,2,20,170.00%,0.00%,-35.00%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1898,HSR Layout,Chole Bhature,200,Weekend,Evening,Non-Peak Time,34,2,14,22,2,20,54.55%,0.00%,-30.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1831,Indiranagar,Fried Rice,500,Weekday,Evening,Peak time,46,2,41,20,2,15,130.00%,0.00%,173.33%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1707,Koramangala,Fried Rice,500,Weekday,Evening,Non-Peak Time,40,2,13,20,2,10,100.00%,0.00%,30.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1028,Indiranagar,Butter Naan,160,Weekend,Noon,Non-Peak Time,12,2,21,10,2,15,20.00%,0.00%,40.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD0971,MG Road,Poha,75,Weekend,Morning,Peak time,42,10,13,15,2,20,180.00%,400.00%,-35.00%,Immediate Attention,Immediate Attention,Way Before Time,Risk,"Preparation time,Assign Time",,
OD1169,Jayanagar,Masala Dosa,240,Weekday,Morning,Non-Peak Time,33,2,13,12,2,12,175.00%,0.00%,8.33%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1227,Koramangala,Idli,195,Weekday,Morning,Peak time,16,2,30,15,2,10,6.67%,0.00%,200.00%,Slight Delay,On Time,Immediate Attention,Risk,Delivery Time,,
OD1369,Whitefield,Fish Curry,190,Weekday,Night,Peak time,41,2,51,15,2,15,173.33%,0.00%,240.00%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0238,Koramangala,Poha,150,Weekday,Morning,Peak time,27,9,16,15,2,10,80.00%,350.00%,60.00%,Delayed,Immediate Attention,Delayed,Risk,Assign Time,,
OD1833,Koramangala,Hakka Noodles,260,Weekday,Night,Non-Peak Time,25,2,14,16,2,10,56.25%,0.00%,40.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1573,HSR Layout,Burger,210,Weekend,Night,Peak time,28,13,19,16,2,20,75.00%,550.00%,-5.00%,Delayed,Immediate Attention,Before Time,Risk,Assign Time,,
OD0076,Koramangala,Butter Chicken,945,Weekend,Night,Non-Peak Time,13,7,19,15,2,10,-13.33%,250.00%,90.00%,Way Before Time,Immediate Attention,Delayed,Risk,Assign Time,,
OD1170,Whitefield,Pav Bhaji,300,Weekday,Night,Non-Peak Time,42,2,13,20,2,15,110.00%,0.00%,-13.33%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1290,Koramangala,Aloo Paratha,330,Weekday,Morning,Peak time,45,1,13,10,2,10,350.00%,-50.00%,30.00%,Immediate Attention,Way Before Time,Slight Delay,Risk,Preparation time,,
OD0426,Marathahalli,Pav Bhaji,300,Weekday,Noon,Non-Peak Time,31,2,13,20,2,10,55.00%,0.00%,30.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1291,HSR Layout,Fish Curry,190,Weekday,Night,Peak time,49,2,20,15,2,20,226.67%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0709,Jayanagar,Paneer Paratha,160,Weekday,Noon,Non-Peak Time,14,2,34,18,2,12,-22.22%,0.00%,183.33%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0348,Whitefield,Samosa,100,Weekday,Noon,Non-Peak Time,44,1,17,10,2,15,340.00%,-50.00%,13.33%,Immediate Attention,Way Before Time,Slight Delay,Risk,Preparation time,,
OD0972,Whitefield,Hakka Noodles,260,Weekend,Noon,Non-Peak Time,52,2,12,16,2,15,225.00%,0.00%,-20.00%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1765,Koramangala,Butter Naan,160,Weekday,Evening,Non-Peak Time,47,2,14,10,2,10,370.00%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1228,Indiranagar,Tandoori Chicken,1080,Weekend,Night,Peak time,24,18,36,28,2,15,-14.29%,800.00%,140.00%,Way Before Time,Immediate Attention,Delayed,Risk,Assign Time,,
OD1574,MG Road,Masala Dosa,120,Weekend,Morning,Non-Peak Time,42,3,11,12,2,20,250.00%,50.00%,-45.00%,Immediate Attention,Delayed,Way Before Time,Risk,Preparation time,,
OD0973,Koramangala,Masala Dosa,120,Weekend,Noon,Non-Peak Time,14,2,15,12,2,10,16.67%,0.00%,50.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD1900,HSR Layout,Veg Biryani,580,Weekend,Evening,Peak time,17,15,40,25,2,20,-32.00%,650.00%,100.00%,Way Before Time,Immediate Attention,Delayed,Risk,Assign Time,,
OD1099,HSR Layout,Idli,195,Weekend,Morning,Peak time,24,2,44,15,2,20,60.00%,0.00%,120.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD0643,Marathahalli,Samosa,100,Weekend,Night,Peak time,45,2,19,10,2,10,350.00%,0.00%,90.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0012,Malleswaram,Chicken Curry,650,Weekend,Noon,Non-Peak Time,46,2,10,20,2,10,130.00%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD0298,BTM Layout,Samosa,100,Weekday,Evening,Peak time,22,8,19,10,2,15,120.00%,300.00%,26.67%,Delayed,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0427,Whitefield,Butter Chicken,945,Weekday,Night,Peak time,44,17,35,15,2,15,193.33%,750.00%,133.33%,Immediate Attention,Immediate Attention,Delayed,Risk,"Preparation time,Assign Time",,
OD0429,Koramangala,Noodles,250,Weekday,Evening,Peak time,15,2,28,10,2,10,50.00%,0.00%,180.00%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1292,Whitefield,Chicken Curry,650,Weekday,Evening,Peak time,55,2,14,20,2,15,175.00%,0.00%,-6.67%,Immediate Attention,On Time,Before Time,Risk,Preparation time,,
OD1443,Marathahalli,Puri Bhaji,300,Weekend,Morning,Non-Peak Time,42,2,24,15,2,10,180.00%,0.00%,140.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1100,Jayanagar,Poha,75,Weekend,Morning,Peak time,11,2,55,15,2,12,-26.67%,0.00%,358.33%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0974,Marathahalli,Burger,420,Weekend,Evening,Non-Peak Time,46,2,13,16,2,10,187.50%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0578,Whitefield,Paneer Tikka,360,Weekend,Evening,Non-Peak Time,41,3,14,21,2,15,95.24%,50.00%,-6.67%,Delayed,Delayed,Before Time,"Preparation time,Assign Time",Preparation time,,
OD0504,Marathahalli,Masala Dosa,480,Weekend,Morning,Non-Peak Time,28,2,15,12,2,10,133.33%,0.00%,50.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD2020,Indiranagar,Noodles,250,Weekend,Night,Peak time,11,9,44,10,2,15,10.00%,350.00%,193.33%,Slight Delay,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1768,Whitefield,Chicken Tikka,355,Weekday,Noon,Non-Peak Time,27,2,13,10,2,15,170.00%,0.00%,-13.33%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1509,Malleswaram,Puri Bhaji,450,Weekend,Morning,Peak time,43,11,20,15,2,10,186.67%,450.00%,100.00%,Immediate Attention,Immediate Attention,Delayed,Risk,"Preparation time,Assign Time",,
OD1510,Malleswaram,Noodles,250,Weekend,Night,Non-Peak Time,39,2,14,10,2,10,290.00%,0.00%,40.00%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD1709,MG Road,Sushi,700,Weekday,Evening,Non-Peak Time,23,2,34,26,2,20,-11.54%,0.00%,70.00%,Way Before Time,On Time,Delayed,Delivery Time,Delivery Time,,
OD0841,Indiranagar,Chole Bhature,200,Weekday,Morning,Peak time,22,2,36,22,2,15,0.00%,0.00%,140.00%,On Time,On Time,Delayed,Delivery Time,Delivery Time,,
OD1293,Whitefield,Poha,150,Weekday,Morning,Peak time,23,2,45,15,2,15,53.33%,0.00%,200.00%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD0301,Indiranagar,Masala Dosa,360,Weekday,Morning,Non-Peak Time,14,2,22,12,2,15,16.67%,0.00%,46.67%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD0350,Marathahalli,Hakka Noodles,260,Weekday,Night,Non-Peak Time,49,2,13,16,2,10,206.25%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0430,Whitefield,Noodles,500,Weekday,Evening,Non-Peak Time,38,4,14,10,2,15,280.00%,100.00%,-6.67%,Immediate Attention,Delayed,Before Time,Risk,Preparation time,,
OD0579,Malleswaram,Chole Bhature,600,Weekend,Morning,Peak time,50,2,10,22,2,10,127.27%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD1372,Koramangala,Chole Bhature,800,Weekday,Evening,Non-Peak Time,29,2,13,22,2,10,31.82%,0.00%,30.00%,Slight Delay,On Time,Slight Delay,"Preparation time,Delivery Time",Preparation time,,
OD0351,Whitefield,Hakka Noodles,260,Weekend,Noon,Non-Peak Time,59,2,16,16,2,15,268.75%,0.00%,6.67%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD0014,Koramangala,Mutton Biryani,780,Weekend,Noon,Non-Peak Time,45,2,12,35,2,10,28.57%,0.00%,20.00%,Slight Delay,On Time,Slight Delay,"Preparation time,Delivery Time",Preparation time,,
OD1101,Koramangala,Butter Naan,160,Weekend,Evening,Non-Peak Time,15,2,23,10,2,10,50.00%,0.00%,130.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Delivery Time,,
OD1636,Koramangala,Aloo Paratha,110,Weekday,Morning,Non-Peak Time,11,2,22,10,2,10,10.00%,0.00%,120.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD0431,Whitefield,Chicken Biryani,700,Weekday,Night,Peak time,19,2,47,30,2,15,-36.67%,0.00%,213.33%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD1173,Marathahalli,Samosa,100,Weekday,Evening,Non-Peak Time,46,2,13,10,2,10,360.00%,0.00%,30.00%,Immediate Attention,On Time,Slight Delay,Risk,Preparation time,,
OD1444,Jayanagar,Chicken Biryani,350,Weekend,Night,Peak time,45,2,44,30,2,12,50.00%,0.00%,266.67%,Delayed,On Time,Immediate Attention,Risk,Delivery Time,,
OD1174,Malleswaram,Samosa,100,Weekday,Night,Non-Peak Time,19,2,15,10,2,10,90.00%,0.00%,50.00%,Delayed,On Time,Delayed,"Preparation time,Delivery Time",Preparation time,,
OD1710,Marathahalli,Hakka Noodles,260,Weekday,Noon,Non-Peak Time,24,2,12,16,2,10,50.00%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD0352,Koramangala,Idli,65,Weekday,Morning,Peak time,79,2,10,15,2,10,426.67%,0.00%,0.00%,Immediate Attention,On Time,On Time,Risk,Preparation time,,
OD0842,Marathahalli,Butter Naan,160,Weekday,Night,Peak time,37,16,10,10,2,10,270.00%,700.00%,0.00%,Immediate Attention,Immediate Attention,On Time,Risk,"Preparation time,Assign Time",,
OD1030,Malleswaram,Butter Naan,160,Weekend,Night,Non-Peak Time,17,2,12,10,2,10,70.00%,0.00%,20.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1711,Jayanagar,Puri Bhaji,150,Weekday,Morning,Non-Peak Time,23,2,12,15,2,12,53.33%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD1578,Marathahalli,Chicken Tikka,355,Weekend,Night,Peak time,54,14,11,10,2,10,440.00%,600.00%,10.00%,Immediate Attention,Immediate Attention,Slight Delay,Risk,"Preparation time,Assign Time",,
OD0353,HSR Layout,Butter Naan,160,Weekday,Night,Peak time,12,2,40,10,2,20,20.00%,0.00%,100.00%,Slight Delay,On Time,Delayed,Delivery Time,Delivery Time,,
OD0080,Koramangala,Paneer Tikka,180,Weekend,Evening,Non-Peak Time,20,7,12,21,2,10,-4.76%,250.00%,20.00%,Before Time,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD0162,HSR Layout,Chicken Tikka,355,Weekend,Evening,Non-Peak Time,18,2,19,10,2,20,80.00%,0.00%,-5.00%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
OD0843,Whitefield,Chole Bhature,200,Weekday,Morning,Non-Peak Time,40,2,12,22,2,15,81.82%,0.00%,-20.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD0908,Koramangala,Fish Curry,190,Weekday,Noon,Non-Peak Time,24,1,13,15,2,10,60.00%,-50.00%,30.00%,Delayed,Way Before Time,Slight Delay,Preparation time,Preparation time,,
OD0581,Jayanagar,Pav Bhaji,300,Weekend,Evening,Peak time,10,11,50,20,2,12,-50.00%,450.00%,316.67%,Way Before Time,Immediate Attention,Immediate Attention,Risk,"Assign Time,Delivery Time",,
OD1712,Whitefield,Paneer Tikka,180,Weekday,Noon,Non-Peak Time,44,2,15,21,2,15,109.52%,0.00%,0.00%,Delayed,On Time,On Time,Preparation time,Preparation time,,
OD0646,Whitefield,Paneer Tikka,180,Weekend,Night,Peak time,53,16,11,21,2,15,152.38%,700.00%,-26.67%,Immediate Attention,Immediate Attention,Way Before Time,Risk,"Preparation time,Assign Time",,
OD1031,BTM Layout,Poha,225,Weekend,Morning,Peak time,47,9,13,15,2,15,213.33%,350.00%,-13.33%,Immediate Attention,Immediate Attention,Way Before Time,Risk,"Preparation time,Assign Time",,
OD1230,HSR Layout,Chicken Biryani,700,Weekday,Night,Non-Peak Time,44,2,14,30,2,20,46.67%,0.00%,-30.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD1904,Koramangala,Masala Dosa,120,Weekend,Morning,Peak time,15,4,33,12,2,10,25.00%,100.00%,230.00%,Slight Delay,Delayed,Immediate Attention,Risk,Delivery Time,,
OD0243,Malleswaram,Noodles,250,Weekday,Noon,Non-Peak Time,21,2,13,10,2,10,110.00%,0.00%,30.00%,Delayed,On Time,Slight Delay,Preparation time,Preparation time,,
OD1512,Whitefield,Burger,210,Weekend,Night,Peak time,53,2,59,16,2,15,231.25%,0.00%,293.33%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD0582,BTM Layout,Chicken Tikka,355,Weekend,Night,Non-Peak Time,47,3,14,10,2,15,370.00%,50.00%,-6.67%,Immediate Attention,Delayed,Before Time,Risk,Preparation time,,
OD1373,HSR Layout,Hakka Noodles,260,Weekday,Evening,Non-Peak Time,30,2,14,16,2,20,87.50%,0.00%,-30.00%,Delayed,On Time,Way Before Time,Preparation time,Preparation time,,
OD0911,Jayanagar,Noodles,250,Weekday,Evening,Peak time,28,2,19,10,2,12,180.00%,0.00%,58.33%,Immediate Attention,On Time,Delayed,Risk,Preparation time,,
OD0164,Brigade Road,Burger,420,Weekend,Evening,Peak time,43,13,12,16,2,22,168.75%,550.00%,-45.45%,Immediate Attention,Immediate Attention,Way Before Time,Risk,"Preparation time,Assign Time",,
OD1966,Marathahalli,Chole Bhature,400,Weekend,Morning,Peak time,12,2,60,22,2,10,-45.45%,0.00%,500.00%,Way Before Time,On Time,Immediate Attention,Risk,Delivery Time,,
OD0780,Whitefield,Poha,150,Weekday,Morning,Non-Peak Time,38,2,12,15,2,15,153.33%,0.00%,-20.00%,Immediate Attention,On Time,Way Before Time,Risk,Preparation time,,
OD1176,Whitefield,Masala Dosa,120,Weekday,Noon,Non-Peak Time,35,3,15,12,2,15,191.67%,50.00%,0.00%,Immediate Attention,Delayed,On Time,Risk,Preparation time,,
OD0912,Indiranagar,Burger,210,Weekday,Evening,Non-Peak Time,24,4,13,16,2,15,50.00%,100.00%,-13.33%,Delayed,Delayed,Way Before Time,"Preparation time,Assign Time",Assign Time,,
OD1445,Whitefield,Pav Bhaji,150,Weekend,Evening,Non-Peak Time,22,2,20,20,2,15,10.00%,0.00%,33.33%,Slight Delay,On Time,Slight Delay,"Preparation time,Delivery Time",Delivery Time,,
OD0506,Whitefield,Aloo Paratha,110,Weekend,Morning,Non-Peak Time,11,6,20,10,2,15,10.00%,200.00%,33.33%,Slight Delay,Immediate Attention,Slight Delay,Risk,Assign Time,,
OD1231,Koramangala,Chole Bhature,200,Weekday,Morning,Non-Peak Time,14,1,25,22,2,10,-36.36%,-50.00%,150.00%,Way Before Time,Way Before Time,Immediate Attention,Risk,Delivery Time,,
OD1297,Indiranagar,Noodles,250,Weekday,Noon,Non-Peak Time,29,3,13,10,2,15,190.00%,50.00%,-13.33%,Immediate Attention,Delayed,Way Before Time,Risk,Preparation time,,
OD1968,Jayanagar,Butter Naan,160,Weekend,Night,Peak time,49,2,59,10,2,12,390.00%,0.00%,391.67%,Immediate Attention,On Time,Immediate Attention,Risk,"Preparation time,Delivery Time",,
OD1969,MG Road,Poha,375,Weekend,Morning,Non-Peak Time,22,2,19,15,2,20,46.67%,0.00%,-5.00%,Delayed,On Time,Before Time,Preparation time,Preparation time,,
